Sort By,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort By,RPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smaller = Better?,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tier,RSC ID,Name,Team,Conference,SBV,IDR,RPV,GP,W,L,Win%,MVPs,Pts,Goals,Assists,Saves,Shots,Shot %,PPG,GPG,APG,SvPG,ShPG,Cycles,Hat Tricks,Playmakers,Saviors,DI,DT
Prospect,RSC006115,Shame,Gloom,N/A,47.0,43.7,45.3,39,15,24,0.385,8,14560,27,12,74,87,31.03%,373.33,0.69,0.31,1.90,2.23,3,2,1,15,37,37
Prospect,RSC006569,mulliganisoup,"Poppy
Gloom",N/A,40.7,48.5,44.6,11,4,7,0.364,1,3763,7,7,17,24,29.17%,342.09,0.64,0.64,1.55,2.18,2,0,0,3,6,12
Prospect,RSC004303,Shogun,Honey Badgers,N/A,41.9,44.6,43.3,34,21,13,0.618,5,10963,22,16,46,73,30.14%,322.44,0.65,0.47,1.35,2.15,6,1,0,6,37,23
Prospect,RSC006755,Fox_gt_400,Undead,N/A,45.5,40.2,42.8,26,9,17,0.346,3,8228,17,10,36,60,28.33%,316.46,0.65,0.38,1.38,2.31,5,1,0,4,11,22
Prospect,RSC003127,Lim,Skeletons,N/A,46.2,39.2,42.7,26,10,16,0.385,4,8307,14,15,36,56,25.00%,319.50,0.54,0.58,1.38,2.15,4,1,0,4,26,33
Prospect,RSC005608,wolverine36535,Prism Proteges,N/A,39.3,44.9,42.1,26,10,16,0.385,4,8061,19,11,29,62,30.65%,310.04,0.73,0.42,1.12,2.38,4,2,0,3,22,24
Prospect,RSC007189,RU_Fluffy,Khans,N/A,26.8,57.0,41.9,1,1,0,1.000,0,225,1,0,0,3,33.33%,225.00,1.00,,,3.00,0,0,0,0,0,0
Prospect,RSC006793,Yogibear8003,Earth,N/A,51.5,32.2,41.8,5,0,5,0.000,0,1601,2,3,7,9,22.22%,320.20,0.40,0.60,1.40,1.80,1,0,0,0,9,7
Prospect,RSC007886,BabyDino8453,Dime,N/A,36.6,47.0,41.8,19,9,10,0.474,1,5505,15,8,17,45,33.33%,289.74,0.79,0.42,0.89,2.37,2,1,0,2,17,10
Prospect,RSC003737,MeOnDisplay,Honey Badgers,N/A,31.4,49.0,40.2,27,16,11,0.593,1,8241,24,10,32,67,35.82%,305.22,0.89,0.37,1.19,2.48,3,0,1,3,21,25
Prospect,RSC006344,FerrisCrueller,Poppy,N/A,30.3,48.8,39.5,12,5,7,0.417,2,3525,10,5,7,29,34.48%,293.75,0.83,0.42,0.58,2.42,1,0,0,1,8,7
Prospect,RSC007864,z . a . c,Khans,N/A,33.9,42.8,38.4,16,9,7,0.563,5,4919,11,7,24,28,39.29%,307.44,0.69,0.44,1.50,1.75,2,2,0,3,11,16
Prospect,RSC007851,Carridripdrip,Undead,N/A,43.1,31.3,37.2,33,12,21,0.364,3,10456,18,13,43,64,28.13%,316.85,0.55,0.39,1.30,1.94,5,1,0,4,20,41
Prospect,RSC007502,Cr1m5on_RL,Khans,N/A,40.1,33.7,36.9,22,7,15,0.318,2,7367,10,10,36,51,19.61%,334.86,0.45,0.45,1.64,2.32,3,0,0,7,12,18
Prospect,RSC005136,tdogplayz,Principales,N/A,41.5,29.0,35.3,31,11,20,0.355,4,9511,17,14,33,54,31.48%,306.81,0.55,0.45,1.06,1.74,4,0,0,2,37,30
Prospect,RSC007834,Kyyrbes,Gloom,N/A,37.4,28.2,32.8,33,11,22,0.333,2,10225,11,17,48,64,17.19%,309.85,0.33,0.52,1.45,1.94,2,0,1,8,18,39
Prospect,RSC000989,Piky Life88,Prism Proteges,N/A,24.1,40.0,32.1,1,0,1,0.000,0,454,1,0,3,4,25.00%,454.00,1.00,,3.00,4.00,0,0,0,1,,
Prospect,RSC005909,YadiCraft,Hawaiian Pizza,N/A,47.0,15.0,31.0,4,2,2,0.500,1,1222,2,1,7,8,25.00%,305.50,0.50,0.25,1.75,2.00,1,0,0,1,2,4
